Word,Value
kindly,Benevolence
kindness,Benevolence
love,Benevolence
loyal,Benevolence
loyalty,Benevolence
mom,Benevolence
mother,Benevolence
need,Benevolence
neighborhood,Benevolence
neighbors,Benevolence
nurture,Benevolence
parents,Benevolence
participation,Benevolence
pity,Benevolence
relationship,Benevolence
reliable,Benevolence
rely,Benevolence
responsibilities,Benevolence
responsibility,Benevolence
responsible,Benevolence
sincere,Benevolence
sorrow,Benevolence
support,Benevolence
supporting,Benevolence
supportive,Benevolence
sympathetic,Benevolence
sympathy,Benevolence
tenderness,Benevolence
thanked,Benevolence
treatment,Benevolence
trustworthy,Benevolence
warmth,Benevolence
wife,Benevolence
accept,Universalism
acceptance,Universalism
acknowledge,Universalism
acknowledgement,Universalism
acknowledging,Universalism
address,Universalism
aesthetic,Universalism
agreement,Universalism
amends,Universalism
assortment,Universalism
balance,Universalism
balancing,Universalism
beautiful,Universalism
beautifully,Universalism
beauty,Universalism
charitable,Universalism
climate,Universalism
coalition,Universalism
collaboration,Universalism
communion,Universalism
communities,Universalism
community,Universalism
company,Universalism
complex,Universalism
compromise,Universalism
connection,Universalism
cooperation,Universalism
cooperative,Universalism
coordinated,Universalism
cruel,Universalism
culture,Universalism
decorum,Universalism
democracy,Universalism
democratic,Universalism
democrats,Universalism
discrimination,Universalism
diverse,Universalism
diversity,Universalism
empowered,Universalism
environment,Universalism
environmental,Universalism
equality,Universalism
explanation,Universalism
fair,Universalism
fairness,Universalism
fellowship,Universalism
fusion,Universalism
generous,Universalism
graceful,Universalism
greed,Universalism
greedy,Universalism
humanity,Universalism
injustice,Universalism
interpretation,Universalism
justice,Universalism
liberal,Universalism
liberation,Universalism
liberties,Universalism
liberty,Universalism
likeness,Universalism
mankind,Universalism
meaning,Universalism
meaningful,Universalism
mercy,Universalism
natural,Universalism
nature,Universalism
peace,Universalism
peaceful,Universalism
protect,Universalism
protected,Universalism
protecting,Universalism
protection,Universalism
protects,Universalism
realization,Universalism
rights,Universalism
sacrifice,Universalism
serenity,Universalism
share,Universalism
sharing,Universalism
sincerity,Universalism
social,Universalism
socially,Universalism
society,Universalism
solidarity,Universalism
spiritual,Universalism
tact,Universalism
tolerance,Universalism
tolerant,Universalism
tolerate,Universalism
tolerated,Universalism
understand,Universalism
understanding,Universalism
unfair,Universalism
union,Universalism
united,Universalism
unity,Universalism
universal,Universalism
vulnerable,Universalism
welcome,Universalism
welcoming,Universalism
wisdom,Universalism
wise,Universalism
wisely,Universalism
ability,Self Direction
act,Self Direction
acted,Self Direction
acting,Self Direction
action,Self Direction
actions,Self Direction
activist,Self Direction
activities,Self Direction
activity,Self Direction
acts,Self Direction
aim,Self Direction
analysis,Self Direction
artistic,Self Direction
awareness,Self Direction
backbone,Self Direction
brilliance,Self Direction
brooding,Self Direction
choice,Self Direction
choose,Self Direction
claiming,Self Direction
clever,Self Direction
college,Self Direction
confident,Self Direction
confrontation,Self Direction
contemplation,Self Direction
controversial,Self Direction
controversy,Self Direction
conviction,Self Direction
create,Self Direction
creates,Self Direction
creation,Self Direction
creative,Self Direction
creativity,Self Direction
critically,Self Direction
curious,Self Direction
dash,Self Direction
decision,Self Direction
defiance,Self Direction
determination,Self Direction
determined,Self Direction
develop,Self Direction
devotion,Self Direction
direct,Self Direction
directing,Self Direction
direction,Self Direction
discovery,Self Direction
dispute,Self Direction
disregard,Self Direction
distinctive,Self Direction
education,Self Direction
educational,Self Direction
effort,Self Direction
efforts,Self Direction
enlightenment,Self Direction
evolving,Self Direction
famous,Self Direction
free,Self Direction
freedom,Self Direction
freely,Self Direction
goal,Self Direction
goals,Self Direction
grit,Self Direction
headway,Self Direction
hobby,Self Direction
hunch,Self Direction
idea,Self Direction
ignorance,Self Direction
imagination,Self Direction
inclination,Self Direction
independence,Self Direction
independent,Self Direction
individual,Self Direction
individuality,Self Direction
ingenuity,Self Direction
initiative,Self Direction
insight,Self Direction
inspiration,Self Direction
inspired,Self Direction
inspiring,Self Direction
instinct,Self Direction
intellect,Self Direction
intellectual,Self Direction
intelligence,Self Direction
intelligent,Self Direction
intend,Self Direction
intends,Self Direction
intention,Self Direction
interest,Self Direction
intuition,Self Direction
knowing,Self Direction
knowledge,Self Direction
learn,Self Direction
learned,Self Direction
learning,Self Direction
lessons,Self Direction
logic,Self Direction
mature,Self Direction
meditation,Self Direction
mind,Self Direction
minded,Self Direction
observation,Self Direction
obsessed,Self Direction
obsession,Self Direction
opinion,Self Direction
original,Self Direction
philosophy,Self Direction
plan,Self Direction
pluck,Self Direction
pondering,Self Direction
principles,Self Direction
protest,Self Direction
purpose,Self Direction
rationale,Self Direction
reasoning,Self Direction
reflection,Self Direction
resolve,Self Direction
revolt,Self Direction
scholar,Self Direction
schooling,Self Direction
science,Self Direction
scrutiny,Self Direction
seriousness,Self Direction
skeptical,Self Direction
smart,Self Direction
special,Self Direction
speculation,Self Direction
spirit,Self Direction
talent,Self Direction
talents,Self Direction
think,Self Direction
thinking,Self Direction
thinks,Self Direction
thought,Self Direction
thoughtful,Self Direction
thoughts,Self Direction
undertaking,Self Direction
vanity,Self Direction
vision,Self Direction
willpower,Self Direction
wit,Self Direction
adrenaline,Stimulation
adventure,Stimulation
adventures,Stimulation
amusement,Stimulation
amusing,Stimulation
attempt,Stimulation
attempted,Stimulation
attempting,Stimulation
attempts,Stimulation
audacity,Stimulation
bored,Stimulation
boredom,Stimulation
brave,Stimulation
breakthrough,Stimulation
breathtaking,Stimulation
bustle,Stimulation
challenge,Stimulation
challenged,Stimulation
challenges,Stimulation
challenging,Stimulation
changes,Stimulation
contradiction,Stimulation
courage,Stimulation
coward,Stimulation
curiosity,Stimulation
dare,Stimulation
daring,Stimulation
different,Stimulation
discover,Stimulation
discovered,Stimulation
discoveries,Stimulation
discovering,Stimulation
disturbance,Stimulation
drama,Stimulation
dramatic,Stimulation
dramatically,Stimulation
drive,Stimulation
dynamic,Stimulation
dynamics,Stimulation
eagerness,Stimulation
endeavor,Stimulation
energetic,Stimulation
energies,Stimulation
energy,Stimulation
enthusiasm,Stimulation
enthusiastic,Stimulation
excitement,Stimulation
exciting,Stimulation
exercise,Stimulation
experiences,Stimulation
experiment,Stimulation
exploration,Stimulation
explorer,Stimulation
exploring,Stimulation
extraordinary,Stimulation
extreme,Stimulation
fascinating,Stimulation
fervor,Stimulation
flurry,Stimulation
frenzy,Stimulation
fuss,Stimulation
gamble,Stimulation
glamour,Stimulation
hustle,Stimulation
hysteria,Stimulation
impatience,Stimulation
impulse,Stimulation
innovative,Stimulation
instability,Stimulation
intensity,Stimulation
intensive,Stimulation
interesting,Stimulation
intriguing,Stimulation
invention,Stimulation
inventions,Stimulation
irregular,Stimulation
motivation,Stimulation
movement,Stimulation
mysterious,Stimulation
newer,Stimulation
newest,Stimulation
newly,Stimulation
novel,Stimulation
novelty,Stimulation
opportunities,Stimulation
opportunity,Stimulation
paranoid,Stimulation
passion,Stimulation
passionate,Stimulation
progressive,Stimulation
radical,Stimulation
revolutionary,Stimulation
risk,Stimulation
risks,Stimulation
shock,Stimulation
shocked,Stimulation
spontaneous,Stimulation
stimulated,Stimulation
stimulating,Stimulation
stir,Stimulation
strain,Stimulation
striving,Stimulation
struggle,Stimulation
surprising,Stimulation
surprisingly,Stimulation
temper,Stimulation
temperament,Stimulation
tension,Stimulation
thrill,Stimulation
turmoil,Stimulation
uncertain,Stimulation
uncertainty,Stimulation
unfamiliar,Stimulation
unique,Stimulation
unprecedented,Stimulation
unpredictable,Stimulation
unstable,Stimulation
variety,Stimulation
venture,Stimulation
vitality,Stimulation
allure,Hedonism
appeal,Hedonism
appetite,Hedonism
attraction,Hedonism
celebrations,Hedonism
charm,Hedonism
cheer,Hedonism
cheerful,Hedonism
comedy,Hedonism
comfort,Hedonism
comfortable,Hedonism
compensation,Hedonism
contentment,Hedonism
courting,Hedonism
craving,Hedonism
delicious,Hedonism
delight,Hedonism
delighted,Hedonism
delightful,Hedonism
delights,Hedonism
desire,Hedonism
diversion,Hedonism
ease,Hedonism
ecstasy,Hedonism
elation,Hedonism
enchantment,Hedonism
enjoy,Hedonism
enjoyed,Hedonism
enjoying,Hedonism
enjoyment,Hedonism
enjoys,Hedonism
entertain,Hedonism
entertaining,Hedonism
entertainment,Hedonism
erotic,Hedonism
euphoria,Hedonism
fascination,Hedonism
fetish,Hedonism
flavor,Hedonism
fulfillment,Hedonism
fun,Hedonism
funny,Hedonism
games,Hedonism
glee,Hedonism
gratification,Hedonism
happier,Hedonism
happily,Hedonism
happiness,Hedonism
happy,Hedonism
hilarious,Hedonism
holiday,Hedonism
humor,Hedonism
indulgence,Hedonism
jest,Hedonism
joke,Hedonism
joking,Hedonism
joy,Hedonism
kidding,Hedonism
laughter,Hedonism
leisure,Hedonism
lightness,Hedonism
longing,Hedonism
lure,Hedonism
lust,Hedonism
mirth,Hedonism
optimism,Hedonism
orgasm,Hedonism
party,Hedonism
play,Hedonism
playful,Hedonism
pleasant,Hedonism
pleasing,Hedonism
pleasure,Hedonism
pleasures,Hedonism
recreation,Hedonism
refreshment,Hedonism
rejoicing,Hedonism
relax,Hedonism
relaxation,Hedonism
relish,Hedonism
rest,Hedonism
satisfaction,Hedonism
satisfying,Hedonism
savor,Hedonism
seduction,Hedonism
sensation,Hedonism
sensual,Hedonism
sex,Hedonism
sexual,Hedonism
sexuality,Hedonism
sexually,Hedonism
sexy,Hedonism
sparkle,Hedonism
temptation,Hedonism
thirst,Hedonism
unpleasant,Hedonism
vacation,Hedonism
accomplish,Achievement
accomplished,Achievement
achieve,Achievement
achievement,Achievement
achieving,Achievement
advance,Achievement
advancement,Achievement
advantage,Achievement
appreciate,Achievement
appreciation,Achievement
approval,Achievement
attained,Achievement
best,Achievement
biggest,Achievement
brains,Achievement
business,Achievement
capabilities,Achievement
capability,Achievement
capable,Achievement
capacity,Achievement
celebrate,Achievement
champion,Achievement
compete,Achievement
competence,Achievement
competent,Achievement
competing,Achievement
competition,Achievement
competitive,Achievement
completion,Achievement
craft,Achievement
defeat,Achievement
development,Achievement
dignity,Achievement
effective,Achievement
efficiency,Achievement
efficient,Achievement
elegance,Achievement
employment,Achievement
experience,Achievement
expertise,Achievement
facility,Achievement
greatest,Achievement
growth,Achievement
honors,Achievement
improvement,Achievement
improvements,Achievement
improving,Achievement
industry,Achievement
job,Achievement
jobs,Achievement
loose,Achievement
losing,Achievement
mastery,Achievement
merit,Achievement
perfection,Achievement
perform,Achievement
popular,Achievement
pride,Achievement
productive,Achievement
professional,Achievement
progress,Achievement
promoted,Achievement
promotion,Achievement
proud,Achievement
qualified,Achievement
quality,Achievement
readiness,Achievement
recognize,Achievement
recognized,Achievement
recognizes,Achievement
results,Achievement
reward,Achievement
rewards,Achievement
skill,Achievement
skills,Achievement
succeed,Achievement
succeeded,Achievement
succeeding,Achievement
success,Achievement
successes,Achievement
successfully,Achievement
top,Achievement
training,Achievement
win,Achievement
won,Achievement
work,Achievement
worth,Achievement
yield,Achievement
acquire,Power
agency,Power
aggressive,Power
ahead,Power
attack,Power
authority,Power
award,Power
benefit,Power
bonus,Power
caliber,Power
capital,Power
cash,Power
command,Power
commerce,Power
conquer,Power
conquest,Power
contest,Power
control,Power
controlling,Power
dealing,Power
demand,Power
demands,Power
dominance,Power
dominant,Power
dominate,Power
dominion,Power
earning,Power
earnings,Power
economics,Power
edge,Power
elevation,Power
elite,Power
enforced,Power
enforcement,Power
entitled,Power
expensive,Power
fancy,Power
fight,Power
force,Power
forcing,Power
fortune,Power
gain,Power
gaining,Power
humiliation,Power
income,Power
influence,Power
influential,Power
interests,Power
lead,Power
leadership,Power
luxury,Power
management,Power
manipulation,Power
might,Power
mighty,Power
money,Power
monopoly,Power
ownership,Power
platinum,Power
position,Power
potential,Power
power,Power
powerful,Power
privilege,Power
proceeds,Power
profit,Power
profitable,Power
profits,Power
property,Power
prosperity,Power
purchase,Power
purchases,Power
pursuit,Power
resources,Power
revenue,Power
rich,Power
richest,Power
salary,Power
selfish,Power
spine,Power
standing,Power
status,Power
strength,Power
strengthened,Power
strengths,Power
strong,Power
superior,Power
superiority,Power
supervision,Power
surplus,Power
sway,Power
trade,Power
utility,Power
vantage,Power
victory,Power
wages,Power
weak,Power
weaker,Power
weakness,Power
weaknesses,Power
wealth,Power
wealthy,Power
